,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Administration and Sales Earn Money from home if your laid off,WATERTOWN,May 23,https://boston.craigslist.org/gbs/npo/d/watertown-administration-and-sales-earn/7129124211.html,"
compensation: Depending on experience  plus possible Comission

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Responsibilities

Cold calling customers and face to face meetings with MRO customers in order to close sales

Working on federal and government bids

Sorting through emails, answering phone calls from customers, and answering questions from customers and vendors in a timely manner

Working on and updating Social media, Amazon, Website updating, Email campaign management Google Ads etc.



*The Ideal Candidate Should Be Able To Multitask

*Make and supply a daily log list of accomplished tasks
Multitask with little supervision

Self-motivated, energetic, and a self-starter

Demonstrate a professional demeanor on the phone and in person

Sales experience helpful, but not required we will train the right individual

Part Time $15.00 -$17.00 per hour plus commission
"
2,"Warehouse, Inventory and Fleet Manager, MON-FRI, 5:30AM-2PM, 20-43",Boston MA,May 22,https://boston.craigslist.org/bmw/npo/d/boston-warehouse-inventory-and-fleet/7128432726.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


SCHEDULE: 40 hours, Monday - Friday, 5:30 a.m. – 2:00 p.m.(May be expected to work some holidays and weekend)

 JOB DESCRIPTION:

The Warehouse, Inventory and Fleet Manager is directly responsible for the supervision of all Delivery and Inventory Personnel. Periodically, this person may be responsible for the supervisor of a Workforce Development Job Training Program trainee assigned to the inventory areas. In addition, the Warehouse, Inventory and Fleet Manager oversees the receiving, storing, holding, tracking and issuing of all inventory (purchased and donated) coming into the Food Services Department. Crucial here are items purchased for and on behalf of iCater enterprises. The Warehouse, Inventory and Fleet Manager works closely with the Acquisition and Purchasing Manager. 

The Warehouse, Inventory and Fleet Manager will update and maintain the food and supplies inventory database from receiving to being issued for planning and production. The incumbent will also generate reports to accurately food and supplies daily and on an adhoc basis. 

Periodically, the Warehouse, Inventory and Fleet Manager may be expected to perform some driving responsibilities as needed. Driving duties may involve interacting with iCater customers (family-style meals and catering) and Pine Street Inn’s programs, volunteers and donors. Therefore it is of great importance that this individual adheres to the standards and practices established by the food services department and Pine Street Inn.



REQUIREMENTS:
•High School Diploma or GED
•Must have a valid Massachusetts driver’s license with an acceptable driving record which has no more than two (2) moving violations posted over the past two (2) years
•Must be able to read English satisfactorily 
•Possess excellent communication skills
•Minimum of three (3) years’ experience in storeroom, inventory and/or warehouse organization and supervision.
•2-3 years’ experience in fleet/vehicle management
•Must possess strong computer skills including a proficiency in Microsoft Office, particularly Word, Excel and Outlook along with data entry skills
•Ability sit for long periods of time and utilize a computer
•Ability to stand for long periods of time
•Must be able to lift at least fifty (50) pounds of weight
•Ability to bend, stoop, and access walk-ins (refrigerators and freezers) for extended periods of time
•Must feel comfortable driving for long periods, sometimes in excess of four (4) hours per day and to various locations across the state
•Strong verbal and written communication skills
•Excellent organizational skills 
•Must work well independently and be able to do routine tasks with limited supervision
•Must be able to handle multi-task and perform in an environment that is often times stressful and demanding
•Must be able to work under pressure, set timelines and meet deadlines
•Must be able to follow various directives from a varied number of individuals, prioritize these tasks and demonstrate the ability to switch tasks, use materials productively, focus on production goals and quality the of finished products

PREFERRED:
•Previous experience driving a medium size box truck
•Certification in ServSafe (Food Service sanitation and safety certification)
•Minimum of two (2) years’ experience working with an extensive food service inventory and operations system and responsible for creating reports.
•Experience with quality control and compliance in an inventory operations setting.
•Ability to motivate staff through consistent communication across different shifts.
•Experience working in a human services environment dedicated to serving the homeless community and individuals with substance abuse issues.
•Minimum of three (3) years supervisory/management experience in the food service industry and working with a food service inventory and production system. 
WORKING CONDITIONS:  

The Warehouse, Inventory and Fleet Manager spends time in the food service operations working in the food storage areas; assisting with organizing and tracking inventory. The position also requires someone who is able to stand on his/her feet for extended periods of time while working. A fair amount of time is spent in the cold food storage areas (walk-in refrigerators and freezers). 

ESSENTIAL FUNCTIONS INCLUDE BUT ARE NOT LIMITED TO:


Personnel (Employees and Trainees) Recruitment, Supervision and Training: 
• Responsible for hiring qualified individuals into open positions within the Delivery and Inventory Personnel areas. This requires working closely with the human resource department with regards to posting open positions and advertising. Must be able to conduct interviews, orientation, selection and training as well as complete the formal human resource requirements pertinent to employee recruitment
• Responsible for the daily and ongoing supervision of all inventory and delivery personnel. 
• Writes annual appraisals for staff and conducts both the sixth month and annual appraisals meetings
• Also supervises the Food Service Training Program Storeroom Intern when assigned to work in this area and expected to work closely with and monitor the performance of volunteers assigned.
• Creates daily staff schedules including holidays and vacations requests, assigns tasks and delegates responsibilities to individuals. Ensures that all supervisees complete pertinent PSI and food service employee training and development goals
• Meets with all staff on an ongoing basis



Purchased and Donated Foods and Supplies:
• Responsible for ensuring all deliveries check against the purchase orders and/or donation slips and addressing variances with management
• Adheres to all food safety procedures when receiving, picking up, delivering and/or storing foods 
• Assists donors with items being delivered or dropped off. Must be an ambassador for the inn and take steps to address immediate needs of the donor



Storage and Issuing Foods and Supplies:
• Ensures that all perishable items are stored in appropriate storage areas (refrigerator, walk-in and freezers). 
• Issue items adhering to requisition request forms (stock pull sheets) approved by the Executive Chef and Sous Chefs
• Ensures that donated baked goods are sorted daily and appropriately stored in preparation for service. Some may require refrigeration
• Delivers stock to the kitchen (for daily production of meals) within the specified time
• Responsible for ensuring the serving areas within the Men and Women’s Inns programs are adequately stocked at all times. This is a daily task and includes beverages, paper goods and cutlery



Food (Family-Style Meal and Catering) and Supplies Deliveries:
•Ensures that the drivers take steps to accurately deliver meals and program supplies to their respective internal and external customer sites. Critical here is the assurance that meals to external customers are delivered in accordance to standards, specifications and practices of the department and Department of Health guidelines
•Uses the online GPS “Geotab” to maximize efficiency of the vehicles, manage drivers deliveries, increase capacity and improve upon the overall use of vehicles
•Facilitates and schedules meals deliveries by ensuring driving personnel are available to cover these responsibilities. This includes meals to iCater family-style meals customers, iCater catered events (internal and external) and meals to Pine Street Inn’s programs. Requires working closely with the Acquisition and Purchasing Manager to ensure that donation pickups occur in a timely manner
•May be called upon to assist in the delivery of food
•Strong attention to iCater food quality, delivery time, and satisfaction is expected to promote a positive customer relationship
•Promptly communicate, to the Executive Chef, any and all issues that may arise pertaining to the service provided to iCater customers (catered and family-style meals) and PSI satellite programs
•Works directly with the Executive Chef and his team to ensure that systems are in place for shipping all foods adhering to production plans; that quantities and extra supplies are accurate, and that food is at proper shipping temperatures



Inventory and Food Services Database:
•The accuracy of accounting for all foods and supplies whether purchased or donated to the inn falls under this person’s daily set of responsibilities
•Required to track all inventories (coming into the department, held in storage and issued for use)
•Tracks inventory (purchased and donated) using inventory and purchasing software. Data integrity is of critical importance for accuracy of daily and weekly reports
•Manages Drop-off Catering pick sheets on a daily basis
•Conducts all physical inventories of all food service items (freezers, refrigerators and dry goods areas) as specified by purchasing schedule and reports to the pertinent food service managers
•Also completes full inventory at a minimum of once per quarter

Maintaining Food Storage Areas:
•Must maintain cleanliness and order in all stock areas. These include, but are limited to the dumb waiter, the loading ramp and dock areas, the receiving room, walk-in refrigerators and freezers, catering supply closet, chemical storage room and all dry good storage areas
•Responsible for ensuring that all storage areas on the food lines are always clean, organized and appropriately stocked for service
•Is responsible for keeping all storage areas (freezers, dry goods areas, basement refrigerator and access at conveyor belt into basement) locked and secured, especially at closing times and when leaving the immediate area for extended periods

Fleet Management and Maintenance:
• Responsible for ensuring all staff operate the inn’s vehicles according to the policies and procedures of the Inn
• Ensures vehicles are kept clean and well maintained on a daily basis
• Charged with ensuring all vehicle accident reports are completed and processed with all pertinent individuals
• Ensures compliance to Vehicle Inspection Reports (VIP) processes. 

Administrative Functions:
•May be required to periodically chair the department general staff meeting
•Expected to attend and participate in the department management team meetings
•Must help create and foster a sense of teamwork amongst all FS employees. Must also contribute to a safe, friendly and cooperative work environment. Adheres to the time and attendance policies and practices
of the department
•Other related duties as required/directed
"
3,"Part-Time Home Delivered Meals Drivers, $15/hour","Waltham, MA",May 21,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-home-delivered-meals/7128129058.html,"
compensation: $15.00/hour (15 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Looking to give back? Consider delivering meals to local seniors! Springwell is seeking Part-Time Meals on Wheels Drivers to deliver meals to seniors living in Brookline, Newton and Watertown! This position offers $15.00/hour for a 15-hour work week: Monday - Friday from 10:00 a.m. - 1:00 p.m. Benefits include paid holidays, sick, and vacation time.
Mileage reimbursement of $0.57 per mile for route. 
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 25lbs.
Must have excellent customer service skills and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Meals on Wheels, Driver, Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services, Delivery
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1409892-143011 "
4,"Part-Time Dining Site Assistant, $15/hour","Waltham, MA",May 21,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7128128816.html,"
compensation: $15.00/hour (15 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks a Part-Time Dining Site Assistant in Brookline and Needham Elderly Housing. Benefits include paid holidays, sick, and vacation time.
Available Positions:
Brookline position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. 
Needham position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM 1:30 PM. 
QUALIFICATIONS
Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.
 
For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1409897-143011 "
5,Part-Time Floating Nutrition Assistant,"Waltham, MA",May 21,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7128128676.html,"
compensation: $15.00/hour (20 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $15.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1411813-143011 "
6,Fresh Truck - Market Manager,Boston,May 21,https://boston.craigslist.org/gbs/npo/d/roxbury-fresh-truck-market-manager/7128064915.html,"
compensation: 40,000-45,000 annually

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Organizational Overview
About Fresh is a Boston area nonprofit on a mission to strengthen communities by getting healthy food to the households that need it most. Our programs are built to be integrated into community healthcare systems and are designed to scale with our partnerships and emerging opportunities.

Programs
Fresh Truck mobile markets bring affordable, healthy food to low-income neighborhoods throughout Boston.
Fresh Connect is a digital payment platform that enables health care providers to subsidize the cost of healthy food for patients and analyze the health-related impacts of improved diets.
Fresh Box - Door-to-door food distribution program developed in response to the COVID-19 crisis.

Job Description
Market Managers are the face of Fresh Truck in our communities, they make the shopping experience for our customers delightful and unique. This role requires a diverse skill as well as a passion for community building and food. We are hiring an additional Market Manager to support our COVID-19 response efforts including managing Fresh Box deliveries.

What you’ll do
Drive a full-size, 39ft school bus
Create an inviting shopping experience through engaging customer service
Manage market support staff, youth employees, and volunteers
Load fresh produce in and out of the mobile markets at the beginnings and ends of shifts
Support other Fresh Truck initiatives such as customer surveys and operations process improvement
Drive Fresh Box delivery routes ensuring households get the food they need

Who you are
An excellent driver, accustomed to driving in an urban environment; strong preference for individuals with experience driving box trucks and large vehicles
You’re willing to get your hands dirty, comfortable with some heavy lifting and will stop at nothing to make things happen
Embrace working within diverse community settings and with a strong sense of social justice; being multilingual (Spanish, Haitian Creole, Portuguese, Cantonese, Mandarin) is huge a plus

Requirements
Driver’s license in good standing with the state of Massachusetts and points no higher than 4
Ability to lift ~50lb on a regular basis
Positive attitude and willingness to learn
Work collaboratively with the team of Market Managers

Compensation and Benefits
Competitive, experience-based salary starting at $45,000
Full medical, dental, and vision insurance
Free groceries every shift

Apply online here: https://www.aboutfresh.org/careers/?gh_jid=4071238003
"
7,"Weekend Evening Counselor, SAT & SUN, 2:45PM-11:15PM",Boston,May 21,https://boston.craigslist.org/bmw/npo/d/boston-weekend-evening-counselor-sat/7127983664.html,"
compensation: 15.00 per hour

employment type: part-time

","

QR Code Link to This Post



SCHEDULE: 16 hours, Saturday-Sunday, 2:45 p.m. -11:15 p.m.

JOB DESCRIPTION:

The Overnight Counselor is responsible for the overall safety of the participants in the program at 8 Church Street. The Overnight Counselor will assist participants in performing Activities of Daily Living (ADL) skills in the early morning hours and create and maintain a respectful atmosphere that empowers very chronic, mentally ill participants to reach their highest level of functioning. 

REQUIREMENTS:
•High School diploma or GED
•Some basic prior human services trainings
•Minimum of one (1) year experience working in a shelter, community residence or in an inpatient setting
•Experience maintaining a safe environment for clients in a program setting
•Experience as a human services team member, familiarity with the concepts of rehabilitation and consumer empowerment
•Experience with dually diagnosed individuals, experience assisting people with ADL skills
•Effective writing and verbal communication skills
•Ability to respond to individuals in crisis
•Ability to climb multiple sets of stairs quickly and frequently
•Ability to assist certain individuals with ADL skills
•Ability to attend to multiple tasks
•Ability to tolerate stress, patience
•Ability to resolve conflicts diplomatically, supportiveness and nurturance
•Ability to set limits when needed, and observance of appropriate boundaries
•Ability to be open minded about exploring creative new ways to help clients maintain housing stability
•Willingness to use continuing education as a tool to gain ideas for improving client outcomes
•Comfort level working with participants with untreated psychiatric conditions
•Comfort with a Harm Reduction approach to substance abuse

Preferred:
• Advanced training in human services work
• Previous experience working with a Housing First/Safe Haven model
• Previous experience with the homeless population
• Previous training in Motivational Interviewing and Trauma-Informed Care 

Essential Functions Include But Are Not Limited To:
•Be responsible for the safety and security of participants in various areas of the building.
•Supervise breakfast operations and cleanup.
•Help participants prepare occasional meals and snacks.
•Confer regularly with other program staff.
•Touch base regularly with each individual participant to see how each seems to be doing.
•Communicate any observed issues or problems via the log and verbal reports.
•Maintain positive relationships with other employees around the Inn in other departments such as Food Services, Men’s Inn, Outreach, and Housekeeping.
•Participate in keeping the outside of the building secure.
•Set a tone of respect and support for all clients of the program.
•Comply with all DMH and DPH policies
•Work with participants to reinforce good ADL skills, including personal hygiene, and leisure time activities.
•Assist participants in cooking, laundry, and other activities of daily living as needed or requested.
•Assist participants in finding ways to have a restful night’s sleep.
•Guide the chronically mentally ill clients in an intentional progression towards increased autonomy, improved life skills, and enhanced quality of life.
•Involve participants in milieu to enhance connectedness with life satisfactions and responsibilities.
•Attend periodic team meetings for staff, to give input and perspective.
•Meet for weekly supervision with the Associate Program Manager.
•Maintain necessary records in a timely fashion.
•Encourage participants to be responsible neighbors. 
•Perform other tasks as assigned by the Supervisor.
Apply at 15. https://www.pinestreetinn.org/aboutus/careers
"
8,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,May 21,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7127961253.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
9,"Teen Parenting Program Spanish Speaking- Chelsea, Lynn, Melrose MA",Melrose,May 21,https://boston.craigslist.org/nos/npo/d/melrose-teen-parenting-program-spanish/7127953622.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
10,Community Support Specialist,Gloucester,May 21,https://boston.craigslist.org/nos/npo/d/gloucester-community-support-specialist/7127924130.html,"
compensation: $15.00 an hour

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


NFI Massachusetts., Inc, a non-profit human service agency, is currently seeking a Community Support Specialist to provide support to individuals with Developmental Disabilities and Acquired Brian Injuries in the community. Locations include: Beverly, Gloucester, Lowell, and Rockport, MA.

Status: Full time/ Part time schedules available
Hourly rate: $15.00

Direct Care Staff are responsible for working in the community to help maintain independent living as well as helping the clients achieve specified goals. Responsibilities may include attending medical appointments, food shopping, light housekeeping, and assistance with obtaining community resources.

This person will provide companionship services, specific services and geographic region will be dependent upon contract. 

Job Requirements:
-This is an entry level position and qualified candidates will preferably possess an Associate's or Bachelor's and/or two years experience working with similar population.
-High energy level, superior interpersonal skills, and the ability to work alone and in a team atmosphere.
-Must hold a valid driver's license and a reliable vehicle.

Benefits for full time employees include: 
-Medical Insurance
-Dental Insurance
-Vision Insurance
-Retirement Plan
-3 weeks paid vacation time
-Tuition reimbursement, $2500 per fiscal year    "
